Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639b603c77bd13601bae72d2,62dc2f45630616c5920dcb75,APPROVED,2022-12-15T17:58:20.982000Z,2022-12-15T18:01:14.066000Z,2022-12-15T20:11:35.057000,2022-12-15T18:01:14.505963Z,174,C177C1KX,723,English,32,Male,White,United States,United States,United States,English,No,Full-Time
639b60474974831b1fd02e23,5d1511f1e814b800016108a6,APPROVED,2022-12-15T17:58:45.201000Z,2022-12-15T18:04:58.830000Z,2022-12-15T20:11:35.161000,2022-12-15T18:04:59.275700Z,374,C177C1KX,3822,English,66,Male,White,United States,United States,United States,English,No,Full-Time
639b604ba2d0cc0c9a17880f,56228c48ed6e5a0005c7fdd6,APPROVED,2022-12-15T17:58:43.013000Z,2022-12-15T18:00:07.241000Z,2022-12-15T20:11:35.264000,2022-12-15T18:00:08.166269Z,85,C177C1KX,1145,English,37,Male,White,United States,United States,United States,English,No,Full-Time
639b607b8f2669fe6869e0d8,5da88a6037d42100144928bd,APPROVED,2022-12-15T17:59:27.485000Z,2022-12-15T18:03:48.925000Z,2022-12-15T20:11:35.583000,2022-12-15T18:03:49.932981Z,262,C177C1KX,2967,English,46,Male,White,United States,United States,United States,English,No,Full-Time
639b608d2c3a64a59b602451,5ba292385301b80001c71ba2,APPROVED,2022-12-15T17:59:44.337000Z,2022-12-15T18:02:37.500000Z,2022-12-15T20:11:35.687000,2022-12-15T18:02:38.048311Z,174,C177C1KX,5593,English,49,Male,White,United States,United States,United States,English,No,Full-Time
639b608fe7a1959e51daad2a,5ddee8912e6c77e798b5882f,APPROVED,2022-12-15T18:00:33.716000Z,2022-12-15T18:02:03.793000Z,2022-12-15T20:11:35.794000,2022-12-15T18:02:11.733852Z,91,C177C1KX,3875,English,23,Male,White,United States,United States,United States,English,No,Full-Time
639b60abdb3eb5f671190cba,5a1efc2b517dfb00013dd370,APPROVED,2022-12-15T18:00:14.933000Z,2022-12-15T18:01:35.292000Z,2022-12-15T20:11:35.898000,2022-12-15T18:01:43.535885Z,81,C177C1KX,4871,English,33,Male,White,United States,United States,United States,English,No,Full-Time
639b60bc63428727c4455d07,63266c311e41f330d1a85c20,APPROVED,2022-12-15T18:00:30.889000Z,2022-12-15T18:02:47.032000Z,2022-12-15T20:11:36.008000,2022-12-15T18:02:47.490854Z,137,C177C1KX,391,English,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
639b60c15ccc46bced2693f4,609a5974625e18ab158c9a3e,APPROVED,2022-12-15T18:00:38.400000Z,2022-12-15T18:04:53.018000Z,2022-12-15T20:11:36.117000,2022-12-15T18:04:53.478991Z,255,C177C1KX,3121,English,61,Male,White,United States,United States,United States,English,No,Full-Time
639b60c247b1be1d9b02f884,62029a55ef1cb18a1337c61a,APPROVED,2022-12-15T18:00:44.604000Z,2022-12-15T18:02:15.776000Z,2022-12-15T20:11:36.226000,2022-12-15T18:02:20.570056Z,92,C177C1KX,2650,English,24,Male,White,United States,United States,United States,English,Yes,Full-Time
639b60ceb9756952cfafe665,59e7d3f97f3d71000171def0,APPROVED,2022-12-15T18:00:50.756000Z,2022-12-15T18:03:00.305000Z,2022-12-15T20:11:36.335000,2022-12-15T18:03:00.747407Z,130,C177C1KX,3113,English,39,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
639b61070489f3d315af48f6,612547f89bad5437aaecfa66,APPROVED,2022-12-15T18:02:12.681000Z,2022-12-15T18:03:33.369000Z,2022-12-15T20:11:36.443000,2022-12-15T18:03:33.822563Z,81,C177C1KX,2708,English,30,Male,White,United States,United States,United States,English,No,Full-Time
639b610767d2bbe8fb2ffe90,5dfd077e3690bd03bfa91d48,APPROVED,2022-12-15T18:01:49.136000Z,2022-12-15T18:05:17.889000Z,2022-12-15T20:11:36.550000,2022-12-15T18:05:18.328810Z,209,C177C1KX,4501,English,56,Male,White,United States,United States,United States,English,No,Full-Time
639b61104974831b1fd02e3e,5e5a10ea43f33020b7e24fe0,APPROVED,2022-12-15T18:02:00.911000Z,2022-12-15T18:05:38.647000Z,2022-12-15T20:11:40.462000,2022-12-15T18:05:39.060946Z,218,C177C1KX,856,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
