#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=36619 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:71 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:0.31 tex:514964 mv:8783 misc:3461 imb:43 pmb:2109 smb:1448 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:0.00 aq:0.20 tex:682073 mv:6624 misc:2495 imb:67 pmb:2804 smb:729 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:0.00 aq:0.18 tex:627344 mv:7218 misc:3430 imb:107 pmb:2117 smb:1376 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:0.00 aq:0.24 tex:783303 mv:8332 misc:3341 imb:226 pmb:1966 smb:1408 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:0.00 aq:0.39 tex:572523 mv:11212 misc:3401 imb:45 pmb:2086 smb:1469 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:0.00 aq:0.28 tex:977914 mv:9643 misc:3259 imb:428 pmb:1901 smb:1271 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:0.00 aq:0.30 tex:792238 mv:13820 misc:3350 imb:128 pmb:2115 smb:1357 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:0.00 aq:0.43 tex:651432 mv:12871 misc:3433 imb:62 pmb:2127 smb:1411 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:0.00 aq:0.48 tex:708631 mv:13845 misc:3356 imb:94 pmb:2066 smb:1440 d:- ref:0 ;
in:83 out:81 type:P dur:2 cpbdur:2 q:0.00 aq:0.28 tex:969846 mv:10499 misc:3263 imb:422 pmb:1941 smb:1237 d:- ref:0 ;
in:81 out:82 type:B dur:2 cpbdur:2 q:0.00 aq:0.47 tex:772067 mv:14591 misc:3310 imb:93 pmb:2083 smb:1424 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:0.00 aq:0.56 tex:725480 mv:14811 misc:3285 imb:81 pmb:2097 smb:1422 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:0.00 aq:0.33 tex:1027325 mv:10391 misc:3180 imb:476 pmb:1879 smb:1245 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:0.00 aq:0.30 tex:828453 mv:15754 misc:3369 imb:153 pmb:2156 smb:1291 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:0.00 aq:0.52 tex:689108 mv:15041 misc:3403 imb:84 pmb:2160 smb:1356 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:0.00 aq:0.64 tex:707389 mv:15106 misc:3257 imb:62 pmb:2039 smb:1499 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:0.00 aq:0.28 tex:2177015 mv:14369 misc:352 imb:1059 pmb:2540 smb:1 d:- ref:0 ;
